time_iso8601,forks_cumulative
2020-06-25 00:00:00+00:00,1
2020-07-27 00:00:00+00:00,2
2020-07-29 00:00:00+00:00,3
2020-07-30 00:00:00+00:00,4
2020-08-01 00:00:00+00:00,5
2020-08-02 00:00:00+00:00,6
2020-08-03 00:00:00+00:00,7
2020-08-05 00:00:00+00:00,8
2020-08-23 00:00:00+00:00,9
2020-08-26 00:00:00+00:00,10
2020-09-01 00:00:00+00:00,11
2020-09-03 00:00:00+00:00,13
2020-09-08 00:00:00+00:00,14
2020-09-11 00:00:00+00:00,15
2020-09-14 00:00:00+00:00,16
2020-10-01 00:00:00+00:00,17
2020-10-07 00:00:00+00:00,18
2020-10-08 00:00:00+00:00,19
2020-10-10 00:00:00+00:00,20
2020-10-12 00:00:00+00:00,21
2020-10-14 00:00:00+00:00,22
2020-10-15 00:00:00+00:00,23
2020-10-16 00:00:00+00:00,25
2020-10-18 00:00:00+00:00,26
2020-10-19 00:00:00+00:00,27
2020-10-20 00:00:00+00:00,29
2020-10-21 00:00:00+00:00,30
2020-10-22 00:00:00+00:00,32
2020-10-24 00:00:00+00:00,33
2020-10-26 00:00:00+00:00,34
2020-10-28 00:00:00+00:00,35
2020-10-29 00:00:00+00:00,36
2020-10-31 00:00:00+00:00,37
2020-11-11 00:00:00+00:00,38
2020-11-24 00:00:00+00:00,40
2020-11-26 00:00:00+00:00,41
2020-11-27 00:00:00+00:00,42
2020-11-28 00:00:00+00:00,43
2020-12-01 00:00:00+00:00,44
2020-12-06 00:00:00+00:00,45
2020-12-09 00:00:00+00:00,46
2020-12-13 00:00:00+00:00,48
2020-12-18 00:00:00+00:00,49
2020-12-19 00:00:00+00:00,50
2020-12-21 00:00:00+00:00,51
2020-12-23 00:00:00+00:00,52
2021-01-01 00:00:00+00:00,53
2021-01-04 00:00:00+00:00,54
2021-01-07 00:00:00+00:00,55
2021-01-09 00:00:00+00:00,56
2021-01-12 00:00:00+00:00,57
2021-01-13 00:00:00+00:00,58
2021-01-17 00:00:00+00:00,60
2021-01-18 00:00:00+00:00,61
2021-01-19 00:00:00+00:00,63
2021-01-22 00:00:00+00:00,64
2021-01-26 00:00:00+00:00,65
2021-01-31 00:00:00+00:00,66
2021-02-03 00:00:00+00:00,67
2021-02-06 00:00:00+00:00,68
2021-02-08 00:00:00+00:00,69
2021-02-09 00:00:00+00:00,70
2021-02-11 00:00:00+00:00,71
2021-02-12 00:00:00+00:00,72
2021-02-13 00:00:00+00:00,73
2021-02-19 00:00:00+00:00,74
2021-02-22 00:00:00+00:00,75
2021-02-23 00:00:00+00:00,78
2021-02-25 00:00:00+00:00,79
2021-02-26 00:00:00+00:00,80
2021-02-27 00:00:00+00:00,82
2021-03-01 00:00:00+00:00,84
2021-03-02 00:00:00+00:00,86
2021-03-03 00:00:00+00:00,87
2021-03-04 00:00:00+00:00,88
2021-03-10 00:00:00+00:00,89
2021-03-11 00:00:00+00:00,91
2021-03-12 00:00:00+00:00,92
2021-03-13 00:00:00+00:00,93
2021-03-14 00:00:00+00:00,95
2021-03-16 00:00:00+00:00,96
2021-03-18 00:00:00+00:00,97
2021-03-19 00:00:00+00:00,98
2021-03-20 00:00:00+00:00,100
2021-03-22 00:00:00+00:00,101
2021-03-24 00:00:00+00:00,102
2021-03-28 00:00:00+00:00,104
2021-03-29 00:00:00+00:00,106
2021-03-30 00:00:00+00:00,107
2021-04-04 00:00:00+00:00,109
2021-04-06 00:00:00+00:00,110
2021-04-10 00:00:00+00:00,111
2021-04-11 00:00:00+00:00,112
2021-04-13 00:00:00+00:00,113
2021-04-15 00:00:00+00:00,114
2021-04-16 00:00:00+00:00,115
2021-04-21 00:00:00+00:00,117
2021-04-23 00:00:00+00:00,118
2021-04-28 00:00:00+00:00,119
2021-04-30 00:00:00+00:00,120
2021-05-01 00:00:00+00:00,121
2021-05-02 00:00:00+00:00,122
2021-05-03 00:00:00+00:00,123
2021-05-04 00:00:00+00:00,124
2021-05-06 00:00:00+00:00,127
2021-05-08 00:00:00+00:00,130
2021-05-09 00:00:00+00:00,132
2021-05-11 00:00:00+00:00,133
2021-05-13 00:00:00+00:00,134
2021-05-14 00:00:00+00:00,135
2021-05-21 00:00:00+00:00,136
2021-05-24 00:00:00+00:00,137
2021-05-28 00:00:00+00:00,138
2021-05-29 00:00:00+00:00,139
2021-05-30 00:00:00+00:00,142
2021-05-31 00:00:00+00:00,143
2021-06-04 00:00:00+00:00,146
2021-06-07 00:00:00+00:00,147
2021-06-09 00:00:00+00:00,148
2021-06-13 00:00:00+00:00,150
2021-06-14 00:00:00+00:00,152
2021-06-17 00:00:00+00:00,153
2021-06-19 00:00:00+00:00,154
2021-06-20 00:00:00+00:00,155
2021-06-21 00:00:00+00:00,156
2021-06-22 00:00:00+00:00,157
2021-06-23 00:00:00+00:00,158
2021-07-02 00:00:00+00:00,160
