time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-18 00:00:00+00:00,65,52,126,40
2021-06-19 00:00:00+00:00,138,69,322,54
2021-06-20 00:00:00+00:00,201,94,205,48
2021-06-21 00:00:00+00:00,281,92,890,84
2021-06-22 00:00:00+00:00,172,53,940,88
2021-06-23 00:00:00+00:00,235,97,613,54
2021-06-24 00:00:00+00:00,197,95,402,99
2021-06-25 00:00:00+00:00,275,92,818,50
2021-06-26 00:00:00+00:00,160,87,226,42
2021-06-27 00:00:00+00:00,113,62,194,37
2021-06-28 00:00:00+00:00,202,78,556,61
2021-06-29 00:00:00+00:00,289,103,608,52
2021-06-30 00:00:00+00:00,295,93,857,63
2021-07-01 00:00:00+00:00,136,64,672,66
2021-07-02 00:00:00+00:00,124,56,655,53
2021-07-03 00:00:00+00:00,81,49,107,28
2021-07-04 00:00:00+00:00,105,48,184,31
2021-07-05 00:00:00+00:00,255,78,400,40
2021-07-06 00:00:00+00:00,195,67,577,47
2021-07-07 00:00:00+00:00,157,57,407,50
2021-07-08 00:00:00+00:00,140,73,367,73
2021-07-09 00:00:00+00:00,169,57,433,40
2021-07-10 00:00:00+00:00,65,21,108,37
2021-07-11 00:00:00+00:00,59,40,154,37
2021-07-12 00:00:00+00:00,232,49,909,74
2021-07-13 00:00:00+00:00,166,66,683,77
2021-07-14 00:00:00+00:00,78,30,510,63
2021-07-15 00:00:00+00:00,144,60,614,67
2021-07-16 00:00:00+00:00,118,68,526,82
2021-07-17 00:00:00+00:00,96,57,122,41
2021-07-18 00:00:00+00:00,165,70,133,39
2021-07-19 00:00:00+00:00,269,99,602,52
2021-07-20 00:00:00+00:00,180,67,427,57
2021-07-21 00:00:00+00:00,239,65,502,68
2021-07-22 00:00:00+00:00,208,71,518,52
2021-07-23 00:00:00+00:00,151,55,466,75
2021-07-24 00:00:00+00:00,165,49,186,42
2021-07-25 00:00:00+00:00,174,46,198,47
2021-07-26 00:00:00+00:00,254,78,716,89
2021-07-27 00:00:00+00:00,205,64,595,62
2021-07-28 00:00:00+00:00,186,85,549,86
2021-07-29 00:00:00+00:00,256,83,475,77
2021-07-30 00:00:00+00:00,214,75,413,62
2021-07-31 00:00:00+00:00,188,76,188,48
2021-08-01 00:00:00+00:00,153,65,71,35
2021-08-02 00:00:00+00:00,197,86,466,78
2021-08-03 00:00:00+00:00,256,100,503,63
2021-08-04 00:00:00+00:00,253,70,506,90
2021-08-05 00:00:00+00:00,134,53,253,77
2021-08-06 00:00:00+00:00,224,44,407,85
2021-08-07 00:00:00+00:00,91,28,127,42
2021-08-08 00:00:00+00:00,87,30,153,48
2021-08-09 00:00:00+00:00,135,60,467,94
2021-08-10 00:00:00+00:00,908,76,757,80
2021-08-11 00:00:00+00:00,271,83,680,75
2021-08-12 00:00:00+00:00,177,66,486,97
2021-08-13 00:00:00+00:00,177,77,397,71
2021-08-14 00:00:00+00:00,213,62,135,39
2021-08-15 00:00:00+00:00,116,48,215,66
2021-08-16 00:00:00+00:00,178,65,543,70
2021-08-17 00:00:00+00:00,288,89,669,92
2021-08-18 00:00:00+00:00,359,87,828,94
2021-08-19 00:00:00+00:00,343,91,777,117
2021-08-20 00:00:00+00:00,242,82,469,78
2021-08-21 00:00:00+00:00,207,81,189,91
2021-08-22 00:00:00+00:00,163,69,152,75
2021-08-23 00:00:00+00:00,247,82,550,112
2021-08-24 00:00:00+00:00,235,102,279,63
2021-08-25 00:00:00+00:00,365,97,674,99
2021-08-26 00:00:00+00:00,308,94,442,110
2021-08-27 00:00:00+00:00,171,69,409,83
2021-08-28 00:00:00+00:00,149,75,359,65
2021-08-29 00:00:00+00:00,177,51,203,58
2021-08-30 00:00:00+00:00,145,61,301,89
2021-08-31 00:00:00+00:00,169,60,505,101
2021-09-01 00:00:00+00:00,206,75,590,90
2021-09-02 00:00:00+00:00,156,58,477,92
2021-09-03 00:00:00+00:00,269,73,549,95
2021-09-04 00:00:00+00:00,207,59,327,52
2021-09-05 00:00:00+00:00,166,57,249,97
2021-09-06 00:00:00+00:00,174,62,577,85
2021-09-07 00:00:00+00:00,277,59,650,79
2021-09-08 00:00:00+00:00,201,68,627,91
2021-09-09 00:00:00+00:00,54,24,510,106
2021-09-10 00:00:00+00:00,296,33,827,100
2021-09-11 00:00:00+00:00,25,9,263,61
2021-09-12 00:00:00+00:00,3,3,128,61
2021-09-13 00:00:00+00:00,172,80,703,117
2021-09-14 00:00:00+00:00,283,74,905,98
2021-09-15 00:00:00+00:00,121,55,612,101
2021-09-16 00:00:00+00:00,188,55,640,118
2021-09-17 00:00:00+00:00,235,77,553,115
2021-09-18 00:00:00+00:00,112,50,199,83
2021-09-19 00:00:00+00:00,24,19,254,85
2021-09-20 00:00:00+00:00,192,22,672,105
2021-09-21 00:00:00+00:00,218,62,661,99
2021-09-22 00:00:00+00:00,348,74,901,107
2021-09-23 00:00:00+00:00,241,65,657,88
2021-09-24 00:00:00+00:00,223,51,907,79
2021-09-25 00:00:00+00:00,78,42,330,70
2021-09-26 00:00:00+00:00,23,22,275,78
2021-09-27 00:00:00+00:00,127,29,819,94
2021-09-28 00:00:00+00:00,251,91,766,112
2021-09-29 00:00:00+00:00,279,102,483,101
2021-09-30 00:00:00+00:00,391,98,631,105
2021-10-01 00:00:00+00:00,334,77,909,100
2021-10-02 00:00:00+00:00,223,63,217,59
2021-10-03 00:00:00+00:00,181,62,211,60
2021-10-04 00:00:00+00:00,197,74,622,90
2021-10-05 00:00:00+00:00,117,60,424,106
2021-10-06 00:00:00+00:00,139,70,494,111
2021-10-07 00:00:00+00:00,197,62,445,106
2021-10-08 00:00:00+00:00,182,68,485,86
2021-10-09 00:00:00+00:00,208,68,249,61
2021-10-10 00:00:00+00:00,111,58,240,60
2021-10-11 00:00:00+00:00,119,58,355,76
2021-10-12 00:00:00+00:00,97,38,679,103
2021-10-13 00:00:00+00:00,114,43,695,110
2021-10-14 00:00:00+00:00,102,47,438,100
2021-10-15 00:00:00+00:00,213,66,364,100
2021-10-16 00:00:00+00:00,267,73,221,59
2021-10-17 00:00:00+00:00,202,61,289,75
2021-10-18 00:00:00+00:00,139,47,434,104
2021-10-19 00:00:00+00:00,405,98,646,129
2021-10-20 00:00:00+00:00,985,87,1022,127
2021-10-21 00:00:00+00:00,557,65,2038,106
2021-10-22 00:00:00+00:00,1095,74,1566,107
2021-10-23 00:00:00+00:00,975,66,1116,75
2021-10-24 00:00:00+00:00,161,36,545,69
2021-10-25 00:00:00+00:00,258,31,1934,112
2021-10-26 00:00:00+00:00,211,44,1290,123
2021-10-27 00:00:00+00:00,393,104,1132,132
2021-10-28 00:00:00+00:00,503,95,851,128
2021-10-29 00:00:00+00:00,632,107,753,125
2021-10-30 00:00:00+00:00,455,101,347,60
2021-10-31 00:00:00+00:00,209,68,291,68
2021-11-01 00:00:00+00:00,299,102,521,101
2021-11-02 00:00:00+00:00,339,104,357,74
